mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
4362-15663-0055_3240-131231-0000,4362,F,3240,M
328-129766-0080_6367-65536-0008,328,F,6367,M
289-121665-0011_2764-36616-0010,289,F,2764,F
1034-121119-0073_6454-107462-0030,1034,M,6454,M
7148-82991-0010_481-123719-0017,7148,F,481,M
3112-9555-0034_1455-138263-0004,3112,F,1455,M
8312-279790-0029_2893-139310-0005,8312,F,2893,M
1898-145720-0018_4441-76263-0029,1898,F,4441,M
4195-186237-0012_1183-133256-0003,4195,F,1183,F
5022-29411-0021_6437-66173-0060,5022,F,6437,M
8975-270782-0000_5049-25947-0078,8975,F,5049,M
322-124147-0055_4788-91208-0026,322,F,4788,M
2514-149482-0012_374-180298-0024,2514,M,374,M
7517-100437-0001_5688-41232-0037,7517,F,5688,F
1455-134435-0050_8468-286673-0027,1455,M,8468,F
3168-173565-0042_6078-54007-0037,3168,M,6078,F
1737-142396-0019_211-122425-0010,1737,F,211,F
250-142276-0004_2989-138028-0016,250,F,2989,F
1098-133695-0063_6000-55211-0011,1098,F,6000,F
196-122152-0029_328-129766-0012,196,M,328,F
3168-173565-0034_7635-105409-0049,3168,M,7635,F
7113-86041-0053_1578-140045-0007,7113,F,1578,F
3607-29116-0014_1088-134315-0029,3607,M,1088,F
1723-141149-0024_1098-133695-0019,1723,M,1098,F
6181-216552-0071_8580-287363-0036,6181,M,8580,M
1363-135842-0016_6529-62556-0026,1363,F,6529,M
7264-92310-0029_3664-178366-0002,7264,M,3664,M
8014-112602-0019_8465-246940-0029,8014,F,8465,F
2391-145015-0025_5339-14133-0015,2391,F,5339,F
1363-135842-0030_5163-39921-0011,1363,F,5163,F
6880-216547-0064_3436-172171-0028,6880,M,3436,M
831-130746-0011_229-130880-0013,831,M,229,M
3214-167602-0011_7178-34645-0024,3214,M,7178,F
445-123857-0008_1447-130551-0033,445,M,1447,F
8095-274346-0042_2182-181183-0019,8095,M,2182,F
1246-124548-0002_8123-275216-0037,1246,F,8123,F
445-123860-0020_7859-102519-0015,445,M,7859,F
118-124588-0014_2391-145015-0115,118,M,2391,F
6209-34599-0014_412-126975-0079,6209,M,412,M
2893-139322-0010_3112-9555-0073,2893,M,3112,F
8580-287363-0023_254-145458-0000,8580,M,254,M
7113-86041-0094_3857-182317-0006,7113,F,3857,M
4088-158077-0093_328-129766-0031,4088,F,328,F
8108-280359-0022_150-132655-0030,8108,M,150,F
8051-119902-0029_412-126975-0006,8051,F,412,M
4788-91208-0023_3168-173565-0001,4788,M,3168,M
1088-129236-0013_403-128339-0020,1088,F,403,F
1723-141149-0079_3723-171631-0016,1723,M,3723,M
7059-77900-0013_3699-47246-0007,7059,F,3699,M
6880-216547-0010_3486-166446-0014,6880,M,3486,M
5192-19396-0025_7635-105409-0068,5192,M,7635,F
8088-284756-0011_8425-287387-0032,8088,M,8425,M
445-123857-0007_118-47824-0002,445,M,118,M
1624-168623-0035_4362-15663-0020,1624,M,4362,F
60-121082-0000_5163-39921-0027,60,M,5163,F
1069-133699-0049_4051-11217-0033,1069,F,4051,F
2136-5140-0028_27-123349-0019,2136,M,27,M
1743-142914-0013_587-41611-0026,1743,M,587,F
7780-274562-0082_8095-274346-0024,7780,F,8095,M
1926-143879-0010_5163-39921-0045,1926,F,5163,F
4362-15663-0101_7447-91187-0032,4362,F,7447,M
7447-91186-0008_7859-102518-0008,7447,M,7859,F
7312-92432-0005_6019-3185-0032,7312,M,6019,M
5678-43302-0031_5322-7679-0035,5678,M,5322,M
7226-86965-0046_196-122150-0037,7226,M,196,M
26-495-0038_7059-88364-0030,26,M,7059,F
78-369-0058_5390-24512-0046,78,M,5390,M
8425-292520-0005_4788-294466-0020,8425,M,4788,M
3664-178366-0003_328-129766-0032,3664,M,328,F
1235-135887-0010_5688-41232-0075,1235,M,5688,F
4680-16042-0017_7178-34644-0027,4680,F,7178,F
1743-142913-0026_831-130746-0042,1743,M,831,M
8051-119902-0008_2289-152254-0013,8051,F,2289,M
1898-145715-0031_4441-76250-0035,1898,F,4441,M
7302-86815-0003_5703-47198-0057,7302,F,5703,M
6437-66173-0049_3214-167606-0029,6437,M,3214,M
5163-39921-0014_6181-216552-0042,5163,F,6181,M
730-360-0021_8063-274112-0007,730,F,8063,M
8088-284756-0020_426-122822-0020,8088,M,426,F
163-122947-0034_1624-168623-0034,163,M,1624,M
839-130898-0090_3168-173565-0017,839,M,3168,M
8747-293952-0018_6925-80680-0061,8747,M,6925,M
4214-7146-0020_150-132655-0015,4214,F,150,F
3112-9555-0022_5322-7679-0027,3112,F,5322,M
298-126791-0016_7226-86964-0038,298,F,7226,M
1992-141719-0040_7511-102420-0028,1992,F,7511,F
625-132118-0009_7178-34644-0051,625,M,7178,F
26-495-0084_696-93314-0006,26,M,696,F
1098-133695-0005_4788-94904-0003,1098,F,4788,M
7780-274562-0066_1867-154075-0026,7780,F,1867,M
4362-15663-0104_3214-167607-0038,4362,F,3214,M
426-122821-0038_118-47824-0042,426,F,118,M
6078-54007-0047_412-126975-0094,6078,F,412,M
4137-11702-0001_1743-142912-0000,4137,F,1743,M
839-130898-0035_5561-39621-0026,839,M,5561,F
696-92939-0035_1098-133695-0078,696,F,1098,F
3259-158083-0003_6367-65536-0062,3259,F,6367,M
19-227-0048_8797-294123-0062,19,F,8797,M
2092-145706-0006_5463-39173-0024,2092,F,5463,M
6880-216547-0105_248-130644-0017,6880,M,248,F
5339-14133-0008_5192-19397-0006,5339,F,5192,M
1926-143879-0004_39-121916-0027,1926,F,39,F
1926-147979-0041_3879-173592-0037,1926,F,3879,F
89-219-0043_32-21634-0003,89,F,32,F
150-126112-0020_7113-86041-0091,150,F,7113,F
7859-102521-0014_7511-102419-0049,7859,F,7511,F
5652-39938-0037_4859-29340-0022,5652,F,4859,M
2436-2477-0005_103-1241-0022,2436,M,103,F
248-130644-0019_7078-271888-0026,248,F,7078,F
1737-148989-0009_26-495-0014,1737,F,26,M
2836-5354-0009_332-128985-0023,2836,F,332,M
2691-156750-0030_2289-152254-0009,2691,F,2289,M
8014-280382-0009_1098-133695-0015,8014,F,1098,F
2817-142371-0014_4088-158077-0096,2817,F,4088,F
4214-7146-0008_2092-145706-0070,4214,F,2092,F
6272-70191-0029_1898-145720-0000,6272,F,1898,F
4406-16882-0036_587-54108-0032,4406,M,587,F
2391-145015-0109_1992-141719-0050,2391,F,1992,F
2289-152254-0006_8580-287363-0016,2289,M,8580,M
2691-156755-0027_4267-78186-0008,2691,F,4267,M
441-128988-0000_2391-145015-0023,441,F,2391,F
5322-7679-0037_412-126975-0078,5322,M,412,M
6019-3185-0067_5192-19397-0014,6019,M,5192,M
1098-133695-0044_302-123523-0021,1098,F,302,F
3486-166424-0066_405-130894-0048,3486,M,405,M
8095-274346-0027_1841-150351-0008,8095,M,1841,F
6880-216547-0067_7312-92432-0011,6880,M,7312,M
7402-90848-0002_374-180299-0003,7402,M,374,M
1970-26100-0027_250-142286-0031,1970,F,250,F
5703-47212-0027_4830-25898-0016,5703,M,4830,M
4340-15220-0024_8465-246943-0001,4340,F,8465,F
8425-246962-0004_4051-11218-0007,8425,M,4051,F
6415-116629-0024_6272-70171-0024,6415,F,6272,F
2952-408-0003_458-126305-0008,2952,M,458,M
3374-298026-0011_7794-295947-0001,3374,M,7794,F
250-142286-0018_4406-16883-0014,250,F,4406,M
311-124404-0013_6000-55211-0012,311,M,6000,F
4267-78186-0031_150-132655-0002,4267,M,150,F
7447-91186-0001_1263-139804-0029,7447,M,1263,F
458-126294-0018_289-121652-0023,458,M,289,F
5703-47212-0010_4297-13006-0000,5703,M,4297,F
2289-152254-0005_4397-15678-0009,2289,M,4397,M
2910-131096-0082_1723-141149-0034,2910,F,1723,M
7859-102519-0028_3112-9554-0006,7859,F,3112,F
8419-293469-0023_6848-252322-0009,8419,M,6848,M
103-1240-0021_3440-171009-0029,103,F,3440,F
2007-132570-0003_5703-47198-0045,2007,F,5703,M
8468-286673-0028_7859-102521-0002,8468,F,7859,F
198-126831-0026_8226-274369-0003,198,F,8226,M
6836-61804-0001_1963-142393-0009,6836,M,1963,F
5463-39173-0029_3983-5331-0046,5463,M,3983,F
2691-156745-0038_5778-54535-0026,2691,F,5778,F
4813-248638-0007_4160-14187-0013,4813,M,4160,F
118-47824-0006_1963-142776-0019,118,M,1963,F
248-130652-0017_60-121082-0073,248,F,60,M
3242-67168-0019_7178-34644-0045,3242,M,7178,F
7794-295947-0035_7226-86964-0032,7794,F,7226,M
7148-7763-0015_6272-70168-0016,7148,F,6272,F
4297-13009-0019_1743-142914-0003,4297,F,1743,M
233-155990-0035_4018-107338-0016,233,M,4018,M
248-130697-0023_254-127705-0036,248,F,254,M
5514-19192-0046_200-124139-0011,5514,F,200,F
8580-287364-0026_7312-92432-0017,8580,M,7312,M
1723-141149-0061_2691-156745-0034,1723,M,2691,F
1578-6379-0008_5750-35690-0015,1578,F,5750,M
8580-287364-0008_3664-11714-0017,8580,M,3664,M
5322-7678-0028_8063-274117-0019,5322,M,8063,M
3242-8112-0044_1624-168623-0019,3242,M,1624,M
3723-171631-0033_1553-140047-0044,3723,M,1553,F
8123-275216-0009_4018-103416-0023,8123,F,4018,M
3168-173565-0050_4788-94904-0027,3168,M,4788,M
1334-135589-0009_198-126831-0018,1334,M,198,F
4397-15668-0008_2384-152900-0040,4397,M,2384,M
3664-178355-0033_909-131041-0026,3664,M,909,M
8014-112586-0014_1578-140049-0010,8014,F,1578,F
3947-13260-0028_8063-274116-0036,3947,F,8063,M
2196-174172-0013_3235-28433-0014,2196,F,3235,F
909-131041-0013_5514-19192-0039,909,M,5514,F
460-172357-0005_4362-15663-0038,460,M,4362,F
5678-43302-0032_6925-80680-0048,5678,M,6925,M
8123-275216-0007_3723-171631-0029,8123,F,3723,M
229-130880-0066_730-358-0032,229,M,730,F
302-123504-0012_6209-34599-0038,302,F,6209,M
3112-9555-0023_3983-5371-0039,3112,F,3983,F
6818-68772-0042_5456-62043-0025,6818,F,5456,M
8108-274318-0005_3830-12531-0014,8108,M,3830,M
