mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
7848-275169-0024_6076-51653-0013,7848,M,6076,M
572-128861-0045_1168-134958-0016,572,M,1168,F
6963-81511-0080_7250-86746-0026,6963,M,7250,F
7265-74923-0085_8307-120458-0042,7265,F,8307,M
7147-80028-0083_5019-44339-0024,7147,M,5019,F
4965-27767-0038_3598-180204-0014,4965,F,3598,F
4591-16221-0048_2504-154289-0026,4591,M,2504,F
8664-295007-0026_3783-176659-0050,8664,F,3783,M
5682-32876-0033_1374-133833-0080,5682,F,1374,M
1097-136955-0033_6072-54656-0026,1097,M,6072,F
1274-121771-0018_47-122796-0128,1274,M,47,F
6324-64062-0000_4193-48173-0012,6324,F,4193,M
8666-293943-0062_8322-276748-0034,8666,M,8322,M
2552-132097-0059_6685-70977-0016,2552,M,6685,M
7997-111777-0022_5076-284283-0002,7997,M,5076,M
6323-10337-0024_569-126489-0005,6323,M,569,M
3698-29401-0036_20-5360-0045,3698,F,20,F
8415-283469-0012_1614-13759-0047,8415,F,1614,M
6695-252334-0002_1714-142291-0004,6695,F,1714,F
4017-6540-0088_8322-276748-0145,4017,M,8322,M
780-126736-0067_8565-290391-0036,780,M,8565,M
2895-8662-0027_4344-22232-0038,2895,F,4344,M
4313-16007-0022_7150-118730-0037,4313,F,7150,M
94-3793-0039_6025-58760-0010,94,M,6025,F
7835-97730-0027_7764-106805-0032,7835,M,7764,M
1819-144391-0030_4511-45511-0035,1819,F,4511,F
6399-278847-0013_1097-136912-0031,6399,M,1097,M
8422-283572-0001_7376-96150-0009,8422,M,7376,F
6199-64259-0012_3906-23193-0007,6199,M,3906,F
2522-147156-0018_7346-91900-0053,2522,F,7346,M
7155-10644-0060_6689-64286-0047,7155,M,6689,F
1505-1304-0027_5459-41260-0072,1505,M,5459,M
255-121535-0005_5044-30592-0002,255,M,5044,F
2246-131710-0058_8765-295009-0030,2246,M,8765,M
1636-130535-0033_5913-40745-0010,1636,F,5913,M
6713-56749-0031_1250-135777-0022,6713,M,1250,F
3541-174236-0029_8328-280925-0063,3541,M,8328,M
3090-131878-0028_51-121055-0132,3090,F,51,M
5185-24767-0023_7467-261121-0011,5185,M,7467,F
1819-144401-0029_690-133452-0042,1819,F,690,F
6947-53264-0024_1618-220956-0017,6947,F,1618,M
2445-148556-0054_5328-204986-0022,2445,F,5328,M
2496-156089-0020_4712-93896-0035,2496,M,4712,F
1367-291967-0030_8808-295459-0002,1367,M,8808,M
5487-41940-0045_4773-25910-0008,5487,F,4773,F
811-130143-0050_5906-52158-0101,811,F,5906,F
7559-96247-0049_679-155529-0037,7559,M,679,M
3867-173237-0086_8846-305208-0012,3867,F,8846,F
149-125750-0009_4277-185517-0031,149,M,4277,M
8441-281327-0038_5661-32892-0022,8441,F,5661,F
1804-131525-0058_8072-284670-0013,1804,F,8072,F
1132-145024-0063_7348-294687-0000,1132,M,7348,F
4234-187750-0028_8476-269293-0011,4234,F,8476,F
466-134196-0009_1154-134887-0041,466,F,1154,F
976-131095-0017_107-22887-0018,976,F,107,M
8143-278206-0029_4591-16221-0027,8143,M,4591,M
5045-1197-0000_4948-28016-0026,5045,F,4948,M
5379-15784-0008_2001-144499-0031,5379,M,2001,M
4174-69287-0012_3503-127083-0039,4174,F,3503,M
5060-15562-0017_466-134185-0019,5060,F,466,F
6377-34634-0028_5569-40540-0009,6377,M,5569,F
4480-44312-0063_6652-70975-0005,4480,M,6652,M
2003-143255-0050_2624-88360-0044,2003,M,2624,M
4078-7619-0037_2834-132496-0009,4078,M,2834,F
4217-9052-0007_2288-139962-0045,4217,M,2288,F
168-129245-0008_4576-66270-0002,168,M,4576,F
2607-87140-0026_1878-122453-0031,2607,F,1878,M
712-123615-0062_8576-300229-0040,712,M,8576,M
1051-133883-0031_3470-116549-0024,1051,F,3470,M
8143-278206-0012_3990-31892-0032,8143,M,3990,F
1804-170447-0006_102-129232-0076,1804,F,102,F
1505-1303-0067_3554-172175-0021,1505,M,3554,F
8072-284670-0011_3227-24747-0025,8072,F,3227,F
4156-12155-0014_2356-154880-0027,4156,F,2356,M
6557-65546-0028_392-131210-0051,6557,F,392,F
5296-26680-0042_1495-138027-0105,5296,F,1495,M
8808-283205-0054_4821-27466-0058,8808,M,4821,M
1187-136241-0012_5013-31085-0008,1187,M,5013,M
4174-107938-0034_5983-39668-0048,4174,F,5983,F
8240-283234-0030_4799-25950-0019,8240,F,4799,M
1374-133833-0001_5244-54280-0005,1374,M,5244,F
4757-1811-0031_7679-276767-0022,4757,F,7679,F
779-123710-0008_92-6488-0012,779,M,92,F
3245-169642-0034_5321-8590-0053,3245,F,5321,M
273-129288-0067_5000-30597-0030,273,M,5000,F
681-152975-0019_5628-47240-0004,681,F,5628,M
720-173579-0027_2988-7587-0038,720,M,2988,F
8322-276748-0025_6030-57826-0045,8322,M,6030,F
