mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
8630-305213-0013_8609-262281-0038_27-123349-0058,8630,M,8609,M,27,M
3526-176653-0036_6563-285357-0016_4397-15666-0008,3526,F,6563,M,4397,M
2196-170379-0023_839-130898-0034_3664-178355-0032,2196,F,839,M,3664,M
4088-158077-0044_19-198-0032_1355-39947-0093,4088,F,19,F,1355,M
4680-16042-0035_8238-283452-0019_298-126791-0005,4680,F,8238,F,298,F
3168-173564-0021_5808-54425-0013_2182-150130-0033,3168,M,5808,M,2182,F
163-122947-0054_7312-92432-0015_6081-42010-0015,163,M,7312,M,6081,M
8014-112586-0020_3235-28452-0011_3699-19402-0006,8014,F,3235,F,3699,M
8238-283452-0014_6367-65536-0008_8465-246942-0026,8238,F,6367,M,8465,F
6563-285357-0032_2436-2476-0005_6181-216552-0100,6563,M,2436,M,6181,M
5393-19218-0010_1898-145715-0031_163-122947-0051,5393,F,1898,F,163,M
481-123720-0070_4441-76263-0045_40-222-0040,481,M,4441,M,40,F
6081-41998-0032_125-121124-0041_2952-410-0055,6081,M,125,F,2952,M
2092-145709-0002_5561-39621-0038_5652-19215-0030,2092,F,5561,F,5652,F
2893-139310-0045_3947-13260-0009_4680-16041-0011,2893,M,3947,F,4680,F
625-132112-0026_911-128684-0010_2518-154825-0041,625,M,911,M,2518,M
2159-179156-0011_4018-103416-0032_445-123860-0004,2159,M,4018,M,445,M
2416-152139-0030_298-126790-0023_1040-133433-0006,2416,F,298,F,1040,M
3235-28433-0048_2518-154825-0022_3486-166446-0002,3235,F,2518,M,3486,M
1183-133256-0014_3607-29116-0007_5867-48852-0037,1183,F,3607,M,5867,F
4853-27670-0020_426-122821-0011_8238-283452-0038,4853,F,426,F,8238,F
3440-171006-0021_27-124992-0053_60-121082-0091,3440,F,27,M,60,M
2391-145015-0047_441-130108-0016_4214-7146-0062,2391,F,441,F,4214,F
