mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
7848-275149-0014_6076-51655-0007_7514-96429-0026,7848,M,6076,M,7514,F
3054-128245-0006_6963-81511-0004_7250-86746-0088,3054,M,6963,M,7250,F
8307-120456-0018_7307-276146-0048_1384-130531-0025,8307,M,7307,M,1384,M
3962-721-0048_6784-76151-0023_4965-27767-0046,3962,M,6784,M,4965,F
4591-16221-0026_2504-154288-0010_6733-59185-0011,4591,M,2504,F,6733,F
884-129800-0027_5076-284283-0004_5682-32875-0052,884,M,5076,M,5682,F
1097-136955-0006_6072-67782-0007_6254-61739-0023,1097,M,6072,F,6254,F
2198-46877-0041_2606-132102-0104_6324-64063-0000,2198,M,2606,M,6324,F
8666-293943-0024_8322-276748-0139_6746-72302-0021,8666,M,8322,M,6746,M
1636-141789-0041_7997-111777-0013_5076-61727-0007,1636,F,7997,M,5076,M
569-126489-0026_6111-59791-0043_413-22437-0025,569,M,6111,F,413,M
3356-132542-0019_8415-283469-0022_1614-141486-0026,3356,F,8415,F,1614,M
1714-142291-0032_1564-142299-0000_1868-145473-0006,1714,F,1564,F,1868,M
7879-274163-0034_780-126736-0009_8565-290393-0002,7879,F,780,M,8565,M
4344-22232-0014_3598-180204-0007_5993-19685-0009,4344,M,3598,F,5993,M
5825-53035-0059_94-3792-0005_6025-58760-0008,5825,F,94,M,6025,F
1819-144391-0007_4511-76322-0031_8071-114975-0022,1819,F,4511,F,8071,F
7107-245689-0042_7480-93348-0008_3665-8587-0109,7107,M,7480,F,3665,M
1717-142305-0008_6199-80041-0001_3906-23193-0017,1717,F,6199,M,3906,F
7346-91900-0071_8337-280361-0020_7155-10644-0060,7346,M,8337,F,7155,M
2042-136442-0027_1505-1304-0010_5459-41260-0077,2042,F,1505,M,5459,M
5044-30602-0060_5796-49593-0004_2246-131710-0062,5044,F,5796,F,2246,M
1636-141789-0031_5913-40745-0030_5826-53497-0039,1636,F,5913,M,5826,M
